key;value;sorting 
type;Ель;1
type;Сосна;1
type;Липа;1
type;Ольха;1
type;Берёза;1
sort;1 сорт;1
sort;1-2 сорт;1
sort;1-4 сорт;1
sort;1-5 сорт;1
sort;5-6 сорт;1
sort;AB;1
sort;BC;1
sort;C;1
sort;I-IV;1
sort;V;1
sort;VI;1
sort;MIX;1
sort;MIX1;1
sort;MIX3;1
sort;MIX4;1
sort;MIX6;1
sort;MIX86;1
sort;Н/К;1
sort;Б/С;1
sort;Норма;1
sort;Оптима;1
okpd;16.10.10.110 - пиломатериалы хвойных пород;1
okpd;16.10.10.111 - пиломатериалы из сосны;1
okpd;16.10.10.112 - пиломатериалы из ели;1
okpd;16.10.10.113 - пиломатериалы из лиственницы;1
okpd;16.10.10.114 - пиломатериалы из кедра;1
okpd;16.10.10.115 - пиломатериалы из пихты;1
okpd;16.10.10.119 - пиломатериалы из прочих хвойных пород;1
okpd;16.10.10.120 - пиломатериалы лиственных пород;1
okpd;16.10.10.121 - пиломатериалы из дуба;1
okpd;16.10.10.122 - пиломатериалы из бука;1
okpd;16.10.10.123 - пиломатериалы из ясеня;1
okpd;16.10.10.124 - пиломатериалы из березы;1
okpd;16.10.10.125 - пиломатериалы из осины;1
okpd;16.10.10.126 - пиломатериалы из тополя;1
okpd;16.10.10.127 - пиломатериалы из ольхи;1
okpd;16.10.10.128 - пиломатериалы из липы;1
okpd;16.10.10.129 - пиломатериалы из прочих лиственных пород;1
